Id_peli;Titulo;Popularidad;Rating;Fecha;Duracion;Pais;Idioma;Presupuesto;Ganancia;Generos;Director;Casting;Guion;Montaje;DOP;Resumen
123649;The Sparrow;0.747;6.2;1972;105;Egypt;العربية;0;0;['Drama'];['Youssef Shaheen'];['Saif Abdulrahman', 'Habiba', 'Mariam Fakhr Eddine', 'Mahmoud el-Meliguy', 'Salah Qabil', 'Ali ElSherif', 'Mohsena Tawfik'];['Youssef Shaheen', 'Lotfi Al Khouli'];['Rashida Abdel Salam'];[];Set shortly before and during the Six Day War in June of 1967, The Sparrow follows a young police officer stationed in a small village in Upper Egypt whose inhabitants suffer from the harassment of a corrupt businessman.
30363;The State of Things;4.137;6.5;1982;125;Germany;English;0;0;['Drama'];['Wim Wenders'];['Isabelle Weingarten', 'Rebecca Pauly', 'Jeffrey Kime', 'Geoffrey Carey', 'Camila Mora-Scheihing', 'Alexandra Auder', 'Patrick Bauchau', 'Paul Getty Jr.', 'Viva', 'Samuel Fuller', 'Artur Semedo', 'Francisco Baião', 'Robert Kramer', 'Allen Garfield', 'Roger Corman', 'Adelaide João', 'Wim Wenders'];[];['Peter Przygodda', 'Barbara von Weitershausen', 'Jon Neuburger'];['Henri Alekan', 'Fred Murphy', 'Martin Schäfer'];On location in Portugal, a film crew runs out of film while making their own version of Roger Corman's The Day the World Ended (1956) . The producer is nowhere to be found and director Munro attempts to find him in hopes of being able to finish the film.
145988;The Singing Lesson;0.6;4.6;1967;18;Poland;English;0;0;['Documentary', 'Music'];['Lindsay Anderson', 'Piotr Szulkin'];[];[];['Barbara Kosidowska'];['Zygmunt Samosiuk'];
976;Sweet Smell of Success;7.307;7.685;1957;97;United States of America;English;3400000;2500000;['Drama'];['Alexander Mackendrick'];"['Burt Lancaster', 'Tony Curtis', 'Susan Harrison', 'Martin Milner', 'Jeff Donnell', 'Sam Levene', 'Joe Frisco', 'Barbara Nichols', 'Emile Meyer', 'Edith Atwater', 'Jay Adler', 'Mary Bayless', 'Nicky Blair', 'Nick Borgani', 'Ralph Brooks', 'Brad Brown', 'Steve Carruthers', 'Robert Carson', 'Lewis Charles', 'Dick Cherney', 'Buddy Clark', 'Paul Cristo', 'Joe Di Reda', 'Lawrence Dobkin', 'Tom Ferrandini', 'John Fiedler', 'Bess Flowers', 'William Forrest', 'Joseph Forte', 'Raoul Freeman', 'Kay Garrett', 'Joe Gray', 'Marion Gray', 'Chico Hamilton', 'James Hill', 'Paul Horn', 'Charles Jordan', 'Fred Katz', 'Colin Kenny', 'Joseph La Cava', 'Mike Lally', 'Joseph Leon', 'King Lockwood', 'Thomas Martin', 'Hans Moebus', 'King Mojave', 'Sol Murgi', 'Forbes Murray', 'George Nardelli', ""William H. O'Brien"", 'Clifford Odets', 'Charles Perry', 'Bill Raisch', 'Waclaw Rekwart', 'Edward Rickard', 'Jane Ross', 'Autumn Russell', 'Charles Sherlock', 'Carson Smith', 'Queenie Smith', 'Bert Stevens', 'Arthur Tovey', 'James Turley', 'Lurene Tuttle', 'Harry Tyler', 'Philip Van Zandt', 'George Washburn', 'David White', 'H.M. Wynant']";['Ernest Lehman', 'Clifford Odets'];['Alan Crosland, Jr.'];['James Wong Howe'];New York City newspaper writer J.J. Hunsecker holds considerable sway over public opinion with his Broadway column, but one thing that he can't control is his younger sister, Susan, who is in a relationship with aspiring jazz guitarist Steve Dallas. Hunsecker strongly disapproves of the romance and recruits publicist Sidney Falco to find a way to split the couple, no matter how ruthless the method.
11482;The Tenant;12.862;7.698;1976;126;France;English;0;5100000;['Thriller', 'Horror', 'Drama'];['Roman Polanski'];['Roman Polanski', 'Isabelle Adjani', 'Melvyn Douglas', 'Bernard Fresson', 'Shelley Winters', 'Gérard Jugnot', 'Josiane Balasko', 'Raoul Guylad', 'Lila Kedrova', 'Jo Van Fleet', 'Claude Piéplu', 'Rufus', 'Romain Bouteille', 'Jacques Monod', 'Patrice Alexsandre', 'Jean-Pierre Bagot', 'Jacky Cohen', 'Bernard-Pierre Donnadieu', 'André Penvern', 'Albert Delpy', 'Louba Guertchikoff', 'Claude Dauphin', 'Éva Ionesco', 'Maïté Nahyr', 'Florence Blot', 'Michel Blanc'];['Gérard Brach', 'Roman Polanski'];['Françoise Bonnot'];['Sven Nykvist'];A quiet and inconspicuous man rents an apartment in France where he finds himself drawn into a rabbit hole of dangerous paranoia.
218;The Terminator;43.618;7.634;1984;108;United Kingdom;English;6400000;78371200;['Action', 'Thriller', 'Science Fiction'];['James Cameron'];"['Arnold Schwarzenegger', 'Michael Biehn', 'Linda Hamilton', 'Paul Winfield', 'Lance Henriksen', 'Rick Rossovich', 'Bess Motta', 'Earl Boen', 'Dick Miller', 'Shawn Schepps', 'Bruce M. Kerner', 'Franco Columbu', 'Bill Paxton', 'Brad Rearden', 'Brian Thompson', 'William Wisher', 'Ken Fritz', 'Tom Oberhaus', 'Ed Dogans', 'Joe Farago', 'Hettie Lynne Hurtes', 'Tony Mirelez', 'Philip Gordon', 'Anthony Trujillo', 'Stan Yale', 'Al Kahn', 'Leslie Morris', 'Hugh Farrington', 'Harriet Medin', 'Loree Frazier', 'James Ralston', 'Norman Friedman', 'Barbara Powers', 'Wayne Stone', 'David Michels', 'John E. Bristol', 'Webster Williams', 'Patrick Pinney', 'Bill W. Richmond', ""Chino 'Fats' Williams"", 'Greg Robbins', 'Marianne Muellerleile', 'John Durban', 'Marian Green', 'J. Randolph Harrison', 'David Kristin', 'Darrell Mapson', 'Bob Ritchie', 'John Stuart West']";[];['Mark Goldblatt'];['Adam Greenberg'];"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?"
14285;The Thin Blue Line;10.041;7.753;1988;103;United States of America;English;0;1209846;['Crime', 'Documentary'];['Errol Morris'];['Randall Adams', 'David Harris', 'Gus Rose', 'Jackie Johnson'];[];['Paul Barnes'];['Stefan Czapsky', 'Robert Chappell'];Errol Morris's unique documentary dramatically re-enacts the crime scene and investigation of a police officer's murder in Dallas.
45999;The Time to Live and the Time to Die;5.505;7.261;1985;138;Taiwan;普通话;0;0;['Drama'];['Hou Hsiao-hsien'];['Yu An-Shun', 'Tien Feng', 'Mei Fang', 'Ru-Yun Tang', 'Hsiao Ai', 'Ng Siu-Ying', 'Hsin Shu-Fen', 'Grace Chen Shu-Fang', 'Hu Hsiang-Ping', 'Lam Shung-Man', 'Chan Hon-Man', 'Kao Chung-Li', 'Luo Cheng-Ye', 'Cheung Ning', 'Jim Tao', 'Yang Li-yin'];[];['Liao Ching-Sung', 'Wang Chiyang'];['Mark Lee Ping-Bing'];The semi-autobiographical film on director Hou Hsiao-Hsien's childhood and adolescence, when he was growing up in Taiwan.
659;The Tin Drum;15.561;6.92;1979;162;Germany;Deutsch;0;0;['Drama', 'History', 'War'];['Volker Schlöndorff'];['Mario Adorf', 'Angela Winkler', 'David Bennent', 'Katharina Thalbach', 'Daniel Olbrychski', 'Tina Engel', 'Berta Drews', 'Roland Teubner', 'Tadeusz Kunikowski', 'Andréa Ferréol', 'Heinz Bennent', 'Ilse Pagé', 'Werner Rehm', 'Käte Jaenicke', 'Otto Sander', 'Charles Aznavour', 'Fritz Hakl', 'Mariella Oliveri', 'Ernst Jacobi', 'Henning Schlüter'];['Jean-Claude Carrière', 'Volker Schlöndorff', 'Franz Seitz Junior'];['Suzanne Baron'];['Igor Luther'];Repulsed by the hypocrisy of adults and the irresponsibility of society, a boy refuses to grow older after his third birthday.
31542;The Tree of Wooden Clogs;11.224;7.5;1978;187;Italy;Italiano;0;0;['Drama'];['Ermanno Olmi'];['Luigi Ornaghi', 'Francesca Moriggi', 'Omar Brignoli', 'Antonio Ferrari', 'Teresa Brescianini', 'Giuseppe Brignoli', 'Carlo Rota', 'Pasqualina Brolis', 'Massimo Fratus', 'Francesca Villa', 'Maria Grazia Caroli', 'Battista Trevaini', 'Giuseppina Langalelli', 'Lorenzo Pedroni', 'Felice Cervi', 'Pierangelo Bertoli', 'Brunella Migliaccio', 'Giacomo Cavalleri', 'Lorenza Frigeni', 'Lucia Pezzoli', 'Franco Pilenga', 'Guglielmo Badoni', 'Laura Lecatelli', 'Carmelo Silva', 'Mario Brignoli', 'Emilio Pedroni', 'Vittorio Capelli', 'Francesca Bassurini', 'Lina Ricci'];[];['Ermanno Olmi'];['Ermanno Olmi'];The life inside a farm in Italy at the beginning of the century. Many poor country families live there, and the owner pays them by their productivity. One of the families has a very clever child. They decide to send him to school instead of make him help them, although this represents a great sacrifice. The boy has to wake up very early and walk several miles to get to the school. One day the boy's shoes break when returning home, but they do not have money to buy other. What can they do?
3009;The Trial;17.746;7.5;1962;118;France;English;1300000;0;['Crime', 'Drama', 'Mystery'];['Orson Welles'];['Anthony Perkins', 'Jeanne Moreau', 'Romy Schneider', 'Orson Welles', 'Akim Tamiroff', 'Elsa Martinelli', 'Suzanne Flon', 'Madeleine Robinson', 'Max Haufler', 'Max Buchsbaum', 'Arnoldo Foà', 'Jess Hahn', 'Billy Kearns', 'Maurice Teynac', 'Naydra Shore', 'Raoul Delfosse', 'Jean-Claude Rémoleux', 'Carl Studer', 'Fernand Ledoux', 'Thomas Holtzmann', 'Wolfgang Reichmann', 'William Chappell', 'Michael Lonsdale'];['Orson Welles'];['Orson Welles', 'Frederick Muller', 'Yvonne Martin'];['Edmond Richard'];An unassuming office worker is arrested and stands trial, but he is never made aware of his charges.
